name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"bench/14/repeats:5_median",5,0.250493,0.250491,s,,,,,
"bench/14/repeats:5_stddev",5,0.000185345,0.000187785,s,,,,,
"bench/14/repeats:5_cv",5,0.000148016,0.000149965,s,,,,,
"bench/16/repeats:5_mean",5,1.18852,1.18848,s,,,,,
"bench/16/repeats:5_median",5,1.18807,1.18802,s,,,,,
"bench/16/repeats:5_stddev",5,0.000990449,0.000991828,s,,,,,
"bench/16/repeats:5_cv",5,0.000166669,0.000166907,s,,,,,
"bench/18/repeats:5_mean",5,5.25825,5.25806,s,,,,,
"bench/18/repeats:5_median",5,5.25573,5.25556,s,,,,,
"bench/18/repeats:5_stddev",5,0.00661239,0.00655052,s,,,,,
"bench/18/repeats:5_cv",5,0.000251505,0.000249161,s,,,,,
"bench/20/repeats:5_mean",5,22.7849,22.7842,s,,,,,
"bench/20/repeats:5_median",5,22.7891,22.7882,s,,,,,
"bench/20/repeats:5_stddev",5,0.0192768,0.0192432,s,,,,,
"bench/20/repeats:5_cv",5,0.000169206,0.000168917,s,,,,,
